hhid,adoption,household_size,gender,age,land_holding,crop_land_size,credit,extension,training,married,widow,single,primary,secondary,post_secondary,no_formal_education,main_livelihood_source,off_farm,purchase_decision_woman,purchase_decision_joint,county_kisumu,county_migori,county_siaya,county_vihiga
217,1,6,0,25,5,4,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
218,1,3,0,28,2,2,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
219,1,3,1,31,.5,.25,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0
220,1,4,1,33,.5,.5,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
221,1,2,0,19,.5,.5,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0
222,1,6,0,29,1,.9,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
223,1,6,0,31,1.5,.5,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
224,1,5,0,32,2,2,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
225,1,4,0,26,2,2,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
226,1,6,0,32,1.5,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
227,0,5,0,28,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
228,0,4,0,31,.125,.125,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
229,0,1,1,25,1.25,1.25,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
230,0,1,1,28,.25,.25,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
231,0,5,0,32,2,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
232,0,1,1,25,.5,.5,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
233,0,6,0,32,.5,.5,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0
234,0,6,1,26,.25,.25,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0
235,0,7,0,35,.5,.5,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
